Family_Income,Scholarship,Education_Loan,Father_Occupation,Mother_Occupation,Parent_Education,Home_Location,HighSchool_Grade,Admission_Quota,Dropout,Batch
75000,Yes,Yes,Farmer,Factory Worker,Graduate,Rural,67.7,OBC,0,2023
18000,Yes,Yes,Farmer,Daily Wage Worker,Primary School,Semi-Urban,73.5,SC/ST,1,2024
35000,No,No,Government Job,Farmer,HighSchool,Semi-Urban,64.5,Merit,0,2024
3000,No,No,Small Business,Government Job,Primary School,Rural,86.6,Sports,1,2022
12000,No,No,Shopkeeper,Government Job,HighSchool,Rural,82.4,Management,1,2023
25000,No,Yes,Teacher,Government Job,Graduate,Urban,96.3,SC/ST,0,2023
60000,Yes,No,Teacher,Factory Worker,Postgraduate,Rural,97.1,SC/ST,0,2021
12000,No,Yes,Teacher,Shopkeeper,HighSchool,Semi-Urban,73.0,Management,1,2023
45000,No,Yes,Daily Wage Worker,Daily Wage Worker,Graduate,Semi-Urban,42.3,Merit,1,2024
35000,No,No,Engineer,Homemaker,Graduate,Semi-Urban,74.6,Merit,0,2024
8000,No,Yes,Teacher,Daily Wage Worker,Diploma,Rural,78.3,Merit,0,2021
12000,No,No,Shopkeeper,Daily Wage Worker,Graduate,Urban,44.0,Sports,1,2024
12000,No,No,Engineer,Daily Wage Worker,Primary School,Rural,50.7,Management,1,2024
18000,No,No,Small Business,Factory Worker,Primary School,Semi-Urban,91.2,Merit,1,2021
35000,No,No,Factory Worker,Government Job,HighSchool,Rural,65.5,Merit,1,2021
18000,Yes,No,Farmer,Factory Worker,Postgraduate,Semi-Urban,94.5,Merit,0,2024
12000,Yes,Yes,Driver,Shopkeeper,Postgraduate,Semi-Urban,59.0,Management,1,2021
35000,Yes,Yes,Government Job,Daily Wage Worker,Graduate,Urban,97.9,Merit,0,2021
25000,Yes,No,Daily Wage Worker,Daily Wage Worker,Graduate,Rural,79.8,OBC,1,2021
25000,No,Yes,Government Job,Farmer,Graduate,Rural,84.2,Merit,0,2024
25000,Yes,Yes,Shopkeeper,Homemaker,Diploma,Rural,75.4,Management,1,2023
12000,Yes,No,Engineer,Homemaker,HighSchool,Semi-Urban,72.1,Sports,0,2022
35000,No,No,Daily Wage Worker,Government Job,No Formal Education,Rural,82.9,OBC,1,2023
18000,No,Yes,Government Job,Teacher,No Formal Education,Urban,51.8,Merit,1,2021
18000,Yes,No,Factory Worker,Daily Wage Worker,Postgraduate,Rural,68.8,OBC,1,2023
8000,No,No,Daily Wage Worker,Shopkeeper,Graduate,Urban,96.1,Sports,1,2021
25000,Yes,Yes,Shopkeeper,Shopkeeper,Graduate,Semi-Urban,92.8,Management,0,2022
35000,No,Yes,Factory Worker,Government Job,Postgraduate,Semi-Urban,95.0,Merit,1,2022
12000,No,Yes,Factory Worker,Shopkeeper,Graduate,Urban,87.3,Merit,1,2024
60000,Yes,Yes,Factory Worker,Nurse,Graduate,Rural,86.3,SC/ST,1,2023
60000,Yes,No,Farmer,Daily Wage Worker,Graduate,Semi-Urban,94.6,OBC,0,2021
5000,Yes,Yes,Driver,Teacher,Primary School,Rural,85.1,Merit,1,2022
35000,Yes,Yes,Small Business,Homemaker,HighSchool,Rural,45.3,Management,1,2022
18000,Yes,No,Farmer,Factory Worker,Diploma,Semi-Urban,74.0,Management,0,2024
100000,No,No,Daily Wage Worker,Nurse,Primary School,Rural,42.3,OBC,1,2021
12000,Yes,No,Farmer,Farmer,Graduate,Semi-Urban,50.5,Merit,1,2024
12000,No,Yes,Farmer,Farmer,Graduate,Semi-Urban,80.0,Management,1,2022
18000,No,Yes,Driver,Homemaker,Graduate,Urban,94.4,SC/ST,1,2022
12000,Yes,Yes,Daily Wage Worker,Government Job,HighSchool,Urban,40.8,SC/ST,1,2024
35000,No,No,Teacher,Farmer,HighSchool,Rural,84.6,Merit,0,2021
25000,Yes,Yes,Daily Wage Worker,Shopkeeper,Postgraduate,Urban,67.0,OBC,0,2022
12000,No,No,Shopkeeper,Shopkeeper,Postgraduate,Rural,88.5,Merit,1,2023
25000,No,Yes,Doctor,Factory Worker,HighSchool,Semi-Urban,77.4,SC/ST,1,2022
60000,No,No,Doctor,Nurse,Postgraduate,Urban,74.7,Merit,0,2023
45000,Yes,Yes,Daily Wage Worker,Farmer,Postgraduate,Rural,65.1,Merit,1,2022
25000,Yes,No,Driver,Farmer,HighSchool,Urban,60.5,Sports,0,2021
12000,No,No,Engineer,Teacher,HighSchool,Rural,69.7,NRI,1,2024
8000,No,No,Farmer,Factory Worker,Postgraduate,Urban,79.7,Merit,0,2024
60000,No,Yes,Factory Worker,Farmer,Graduate,Semi-Urban,62.3,Merit,0,2023
35000,No,No,Shopkeeper,Homemaker,Graduate,Rural,68.8,SC/ST,1,2023
25000,Yes,Yes,Daily Wage Worker,Shopkeeper,Postgraduate,Rural,75.2,SC/ST,1,2022
60000,Yes,No,Small Business,Daily Wage Worker,Postgraduate,Semi-Urban,40.2,SC/ST,0,2023
8000,No,No,Teacher,Shopkeeper,Primary School,Urban,52.6,SC/ST,1,2022
35000,No,No,Daily Wage Worker,Farmer,Diploma,Urban,50.9,Merit,1,2022
12000,Yes,No,Factory Worker,Nurse,Postgraduate,Semi-Urban,91.5,Merit,0,2023
8000,No,No,Teacher,Farmer,Primary School,Semi-Urban,93.1,Merit,0,2023
18000,No,No,Doctor,Government Job,Primary School,Semi-Urban,50.6,Merit,1,2024
18000,Yes,No,Government Job,Homemaker,Postgraduate,Rural,81.2,OBC,0,2021
75000,No,Yes,Engineer,Factory Worker,Graduate,Rural,64.6,Merit,0,2022
12000,No,No,Daily Wage Worker,Homemaker,HighSchool,Rural,72.3,Merit,1,2022
45000,No,No,Factory Worker,Daily Wage Worker,HighSchool,Urban,64.2,Merit,0,2021
45000,Yes,Yes,Teacher,Nurse,Graduate,Semi-Urban,67.6,Management,0,2022
35000,No,No,Doctor,Government Job,HighSchool,Rural,80.7,Merit,0,2022
75000,Yes,No,Factory Worker,Government Job,Primary School,Urban,57.1,Merit,0,2024
18000,No,No,Doctor,Homemaker,Postgraduate,Semi-Urban,41.2,NRI,0,2021
18000,No,No,Engineer,Daily Wage Worker,Graduate,Rural,69.7,OBC,1,2024
8000,Yes,No,Driver,Nurse,Diploma,Semi-Urban,45.8,Merit,0,2023
12000,No,No,Shopkeeper,Shopkeeper,Graduate,Urban,96.5,Merit,0,2024
60000,No,No,Driver,Teacher,Diploma,Urban,60.2,SC/ST,1,2021
18000,No,Yes,Doctor,Government Job,HighSchool,Semi-Urban,41.2,Sports,0,2024
12000,Yes,Yes,Government Job,Government Job,Postgraduate,Urban,68.3,SC/ST,0,2022
12000,No,No,Farmer,Factory Worker,Diploma,Semi-Urban,59.0,Merit,1,2021
25000,Yes,No,Engineer,Factory Worker,Graduate,Urban,80.5,Merit,0,2021
35000,No,No,Driver,Government Job,Diploma,Urban,81.6,Management,1,2021
12000,No,No,Driver,Daily Wage Worker,Diploma,Rural,81.2,Management,1,2021
45000,No,Yes,Farmer,Shopkeeper,HighSchool,Semi-Urban,63.1,OBC,1,2023
35000,No,No,Doctor,Homemaker,Diploma,Rural,90.6,Merit,0,2022
45000,Yes,No,Teacher,Nurse,Graduate,Urban,42.8,Merit,0,2022
12000,No,Yes,Teacher,Shopkeeper,Graduate,Rural,67.7,Merit,1,2024
35000,Yes,Yes,Driver,Factory Worker,Graduate,Semi-Urban,95.9,Merit,0,2023
8000,No,No,Daily Wage Worker,Government Job,No Formal Education,Urban,64.7,Management,1,2023
18000,No,Yes,Engineer,Shopkeeper,Diploma,Semi-Urban,98.0,SC/ST,1,2022
45000,No,Yes,Daily Wage Worker,Homemaker,HighSchool,Rural,82.0,Merit,1,2024
35000,Yes,Yes,Factory Worker,Farmer,Graduate,Rural,64.1,Management,1,2023
8000,No,No,Doctor,Teacher,Postgraduate,Urban,80.3,SC/ST,0,2022
60000,Yes,Yes,Engineer,Farmer,Graduate,Urban,95.9,Sports,0,2024
5000,Yes,No,Driver,Daily Wage Worker,HighSchool,Urban,90.1,Management,0,2021
25000,Yes,No,Driver,Teacher,Graduate,Rural,51.5,Merit,1,2024
100000,No,No,Government Job,Teacher,Primary School,Semi-Urban,88.1,Merit,0,2021
25000,Yes,No,Driver,Factory Worker,Primary School,Semi-Urban,53.4,Management,1,2023
45000,No,No,Shopkeeper,Farmer,HighSchool,Urban,45.9,Merit,0,2021
25000,No,No,Daily Wage Worker,Nurse,Diploma,Semi-Urban,63.8,SC/ST,1,2024
45000,No,No,Factory Worker,Teacher,Diploma,Rural,74.9,Merit,1,2023
35000,Yes,Yes,Farmer,Nurse,Diploma,Semi-Urban,58.4,Management,1,2024
35000,No,No,Factory Worker,Government Job,Graduate,Urban,90.0,NRI,0,2022
12000,Yes,No,Teacher,Nurse,Primary School,Rural,59.2,OBC,1,2024
45000,Yes,Yes,Driver,Teacher,Diploma,Semi-Urban,47.1,Merit,0,2024
12000,No,No,Doctor,Shopkeeper,HighSchool,Rural,69.4,Merit,1,2024
100000,No,Yes,Small Business,Factory Worker,HighSchool,Urban,77.4,Management,0,2023
12000,Yes,No,Teacher,Homemaker,Diploma,Semi-Urban,56.3,Sports,0,2024
12000,No,Yes,Government Job,Farmer,Primary School,Semi-Urban,92.8,Sports,1,2022
60000,No,No,Daily Wage Worker,Nurse,Diploma,Semi-Urban,43.6,SC/ST,1,2023
12000,No,No,Farmer,Government Job,Graduate,Urban,75.2,Management,1,2023
18000,Yes,Yes,Driver,Factory Worker,HighSchool,Urban,89.7,Merit,0,2024
35000,No,No,Government Job,Nurse,Graduate,Rural,87.8,Merit,0,2022
8000,No,No,Farmer,Shopkeeper,HighSchool,Rural,78.4,Management,1,2023
8000,No,No,Daily Wage Worker,Teacher,Graduate,Urban,42.5,Merit,1,2021
25000,No,Yes,Daily Wage Worker,Nurse,HighSchool,Semi-Urban,44.8,Merit,1,2021
12000,Yes,No,Factory Worker,Homemaker,Postgraduate,Semi-Urban,68.4,Sports,0,2023
12000,No,Yes,Farmer,Teacher,Primary School,Semi-Urban,95.8,SC/ST,1,2021
3000,Yes,Yes,Driver,Government Job,Postgraduate,Urban,44.6,Management,1,2023
18000,Yes,No,Doctor,Daily Wage Worker,HighSchool,Urban,90.3,Management,0,2023
12000,No,Yes,Small Business,Shopkeeper,Graduate,Semi-Urban,88.0,Sports,1,2023
3000,Yes,Yes,Shopkeeper,Farmer,HighSchool,Rural,96.3,SC/ST,1,2023
35000,Yes,No,Engineer,Teacher,Primary School,Urban,48.9,Management,0,2021
35000,Yes,No,Government Job,Government Job,No Formal Education,Semi-Urban,46.2,OBC,1,2022
5000,Yes,No,Teacher,Government Job,Primary School,Rural,62.4,Merit,0,2023
12000,No,Yes,Teacher,Nurse,Diploma,Urban,70.6,SC/ST,1,2024
60000,Yes,No,Factory Worker,Nurse,Graduate,Urban,90.6,NRI,0,2022
25000,No,No,Teacher,Daily Wage Worker,Diploma,Semi-Urban,94.3,SC/ST,0,2024
18000,Yes,Yes,Shopkeeper,Factory Worker,Graduate,Urban,58.9,Merit,0,2024
18000,No,Yes,Engineer,Nurse,Primary School,Rural,88.6,Merit,1,2023
8000,Yes,No,Small Business,Factory Worker,Graduate,Semi-Urban,89.4,Merit,0,2022
45000,Yes,Yes,Farmer,Factory Worker,Graduate,Rural,64.3,Merit,1,2024
75000,Yes,Yes,Small Business,Shopkeeper,HighSchool,Urban,67.0,Management,0,2024
75000,No,No,Factory Worker,Nurse,Graduate,Rural,92.0,SC/ST,1,2023
12000,Yes,No,Driver,Nurse,HighSchool,Rural,91.7,Management,1,2023
12000,Yes,Yes,Small Business,Shopkeeper,Diploma,Rural,96.7,Merit,0,2023
8000,Yes,No,Daily Wage Worker,Shopkeeper,Graduate,Semi-Urban,76.1,Management,1,2024
12000,Yes,Yes,Factory Worker,Daily Wage Worker,Graduate,Rural,68.7,SC/ST,1,2022
12000,Yes,No,Factory Worker,Teacher,Diploma,Semi-Urban,88.8,Merit,0,2022
35000,Yes,Yes,Daily Wage Worker,Nurse,HighSchool,Urban,44.8,Merit,1,2023
8000,No,Yes,Farmer,Nurse,Graduate,Rural,91.5,Merit,1,2023
75000,No,No,Government Job,Government Job,Diploma,Urban,52.8,Management,0,2021
5000,Yes,No,Engineer,Homemaker,Postgraduate,Urban,67.7,OBC,0,2022
3000,Yes,Yes,Farmer,Daily Wage Worker,Graduate,Rural,80.5,Merit,1,2023
60000,No,Yes,Doctor,Factory Worker,Primary School,Rural,41.6,SC/ST,1,2024
35000,No,No,Engineer,Daily Wage Worker,Diploma,Semi-Urban,63.0,Sports,0,2021
18000,No,No,Factory Worker,Teacher,Graduate,Rural,57.3,Management,1,2021
25000,Yes,No,Shopkeeper,Homemaker,Graduate,Semi-Urban,44.0,SC/ST,0,2022
12000,Yes,No,Farmer,Daily Wage Worker,HighSchool,Semi-Urban,49.9,Management,1,2022
8000,Yes,No,Engineer,Farmer,Graduate,Semi-Urban,49.4,Sports,0,2024
18000,No,No,Driver,Teacher,Graduate,Urban,84.3,Merit,0,2023
18000,No,No,Daily Wage Worker,Farmer,Primary School,Urban,63.9,Merit,1,2022
35000,Yes,Yes,Driver,Farmer,No Formal Education,Semi-Urban,42.7,Merit,1,2021
12000,No,Yes,Government Job,Nurse,Graduate,Rural,53.1,Sports,1,2021
35000,No,Yes,Factory Worker,Teacher,Graduate,Rural,82.7,Merit,1,2024
45000,No,Yes,Teacher,Factory Worker,HighSchool,Semi-Urban,53.2,OBC,1,2023
8000,Yes,No,Shopkeeper,Shopkeeper,HighSchool,Urban,65.8,OBC,0,2024
5000,No,No,Farmer,Farmer,HighSchool,Urban,78.8,OBC,1,2022
18000,No,No,Driver,Teacher,Diploma,Semi-Urban,96.7,Management,1,2021
45000,No,No,Doctor,Nurse,Graduate,Semi-Urban,43.6,SC/ST,0,2023
35000,Yes,Yes,Factory Worker,Nurse,HighSchool,Urban,53.1,Merit,0,2024
35000,No,Yes,Factory Worker,Shopkeeper,Graduate,Rural,53.1,Merit,1,2021
18000,No,Yes,Doctor,Shopkeeper,HighSchool,Rural,92.1,Management,1,2023
12000,No,No,Engineer,Nurse,Graduate,Urban,72.5,Sports,0,2022
25000,No,No,Driver,Factory Worker,Postgraduate,Urban,84.3,Merit,0,2023
8000,Yes,Yes,Doctor,Farmer,HighSchool,Rural,67.1,OBC,1,2023
45000,Yes,No,Shopkeeper,Teacher,Postgraduate,Semi-Urban,67.9,Management,0,2022
8000,No,No,Teacher,Factory Worker,Graduate,Urban,97.5,SC/ST,0,2022
12000,Yes,Yes,Teacher,Teacher,Postgraduate,Rural,49.7,SC/ST,0,2023
25000,No,Yes,Doctor,Daily Wage Worker,HighSchool,Rural,63.4,Merit,1,2023
25000,Yes,No,Small Business,Daily Wage Worker,Postgraduate,Rural,98.2,Merit,0,2022
35000,No,No,Factory Worker,Nurse,Diploma,Semi-Urban,55.4,Merit,1,2022
18000,No,Yes,Small Business,Government Job,HighSchool,Rural,46.5,Merit,1,2021
75000,Yes,Yes,Teacher,Farmer,Postgraduate,Rural,57.5,NRI,0,2022
60000,Yes,No,Factory Worker,Farmer,Postgraduate,Rural,89.3,SC/ST,0,2023
60000,Yes,Yes,Engineer,Shopkeeper,Primary School,Urban,98.7,SC/ST,0,2024
35000,Yes,No,Shopkeeper,Daily Wage Worker,Diploma,Urban,76.8,OBC,0,2024
35000,Yes,Yes,Farmer,Homemaker,Postgraduate,Urban,98.4,SC/ST,0,2023
35000,Yes,No,Small Business,Factory Worker,Diploma,Rural,50.5,Merit,1,2021
18000,No,Yes,Government Job,Teacher,Diploma,Urban,77.1,Sports,1,2021
12000,No,Yes,Shopkeeper,Homemaker,HighSchool,Urban,75.0,Sports,1,2023
25000,Yes,No,Doctor,Government Job,Diploma,Rural,47.8,Merit,0,2021
3000,Yes,No,Small Business,Farmer,Diploma,Urban,76.3,Sports,0,2022
3000,Yes,Yes,Shopkeeper,Homemaker,Graduate,Semi-Urban,71.6,Sports,0,2022
60000,No,No,Engineer,Nurse,Diploma,Rural,84.6,SC/ST,0,2022
5000,No,Yes,Small Business,Government Job,Graduate,Semi-Urban,89.0,SC/ST,1,2023
25000,No,No,Shopkeeper,Factory Worker,Primary School,Semi-Urban,53.2,Management,1,2022
35000,Yes,No,Farmer,Government Job,Graduate,Urban,46.5,Merit,0,2023
8000,No,Yes,Shopkeeper,Shopkeeper,No Formal Education,Rural,94.5,Management,1,2021
60000,Yes,No,Daily Wage Worker,Government Job,Graduate,Urban,83.7,Management,0,2024
8000,No,Yes,Doctor,Nurse,Graduate,Urban,61.4,SC/ST,0,2024
60000,No,No,Doctor,Homemaker,Graduate,Rural,71.7,Merit,0,2021
45000,Yes,No,Shopkeeper,Homemaker,Primary School,Semi-Urban,88.5,Merit,0,2023
12000,No,No,Shopkeeper,Shopkeeper,Postgraduate,Semi-Urban,49.6,Merit,0,2024
8000,Yes,No,Driver,Government Job,Primary School,Rural,40.1,Management,1,2023
12000,No,Yes,Shopkeeper,Daily Wage Worker,Primary School,Semi-Urban,72.2,OBC,1,2024
18000,No,No,Driver,Farmer,Graduate,Urban,45.5,OBC,1,2023
12000,Yes,No,Doctor,Nurse,HighSchool,Urban,96.8,Management,0,2021
100000,Yes,Yes,Driver,Homemaker,Diploma,Semi-Urban,52.0,NRI,0,2021
12000,No,No,Factory Worker,Daily Wage Worker,Postgraduate,Rural,83.4,NRI,1,2023
60000,No,No,Government Job,Farmer,HighSchool,Semi-Urban,82.0,NRI,0,2022
8000,Yes,Yes,Driver,Government Job,Graduate,Urban,49.8,Merit,0,2024
100000,Yes,Yes,Daily Wage Worker,Teacher,Graduate,Urban,41.5,Management,0,2024
12000,Yes,No,Farmer,Shopkeeper,Diploma,Urban,53.6,Management,1,2021
18000,Yes,Yes,Farmer,Teacher,Diploma,Rural,71.9,SC/ST,1,2023
25000,No,No,Doctor,Homemaker,Diploma,Urban,47.5,Merit,0,2023
8000,Yes,No,Daily Wage Worker,Nurse,Graduate,Urban,95.5,NRI,0,2022
45000,Yes,No,Small Business,Nurse,Graduate,Rural,86.2,Merit,0,2024
12000,Yes,Yes,Small Business,Homemaker,HighSchool,Urban,53.2,SC/ST,1,2021
25000,Yes,No,Small Business,Daily Wage Worker,Graduate,Rural,46.7,SC/ST,1,2022
25000,Yes,Yes,Daily Wage Worker,Shopkeeper,Diploma,Semi-Urban,44.0,Merit,1,2021
35000,Yes,No,Small Business,Farmer,Graduate,Rural,88.4,SC/ST,1,2021
5000,No,No,Small Business,Factory Worker,No Formal Education,Urban,92.0,Merit,1,2024
8000,No,Yes,Factory Worker,Shopkeeper,HighSchool,Rural,71.0,Management,1,2024
8000,Yes,Yes,Doctor,Homemaker,HighSchool,Urban,73.3,OBC,0,2023
12000,No,No,Government Job,Teacher,Graduate,Rural,64.9,SC/ST,1,2021
8000,No,No,Farmer,Teacher,HighSchool,Rural,87.1,SC/ST,1,2022
75000,No,Yes,Doctor,Factory Worker,Diploma,Rural,91.5,Merit,0,2021
25000,Yes,No,Government Job,Homemaker,Postgraduate,Semi-Urban,58.5,SC/ST,0,2024
35000,Yes,No,Teacher,Government Job,No Formal Education,Semi-Urban,93.1,Merit,0,2023
18000,Yes,No,Small Business,Shopkeeper,Diploma,Semi-Urban,54.3,Merit,0,2021
12000,No,Yes,Shopkeeper,Teacher,Primary School,Semi-Urban,53.0,Merit,1,2024
25000,No,No,Daily Wage Worker,Nurse,Graduate,Urban,90.2,SC/ST,1,2024
12000,No,No,Driver,Daily Wage Worker,HighSchool,Semi-Urban,70.7,Merit,1,2023
12000,Yes,No,Teacher,Factory Worker,Postgraduate,Semi-Urban,43.1,Management,0,2023
18000,No,No,Teacher,Government Job,HighSchool,Semi-Urban,46.0,Merit,0,2021
25000,Yes,No,Driver,Teacher,Postgraduate,Urban,57.0,Merit,0,2024
100000,Yes,No,Engineer,Factory Worker,No Formal Education,Rural,50.5,Merit,0,2021
12000,Yes,Yes,Factory Worker,Daily Wage Worker,Graduate,Rural,98.8,SC/ST,1,2024
25000,Yes,No,Doctor,Government Job,HighSchool,Semi-Urban,82.3,Management,0,2021
8000,Yes,No,Teacher,Homemaker,HighSchool,Semi-Urban,65.9,SC/ST,1,2022
12000,Yes,Yes,Doctor,Shopkeeper,Postgraduate,Rural,87.6,Merit,0,2024
35000,No,No,Shopkeeper,Teacher,HighSchool,Urban,57.3,Merit,0,2021
8000,No,No,Government Job,Nurse,Graduate,Rural,41.7,Merit,0,2022
25000,No,No,Factory Worker,Shopkeeper,Graduate,Semi-Urban,61.5,Merit,0,2024
18000,No,No,Farmer,Nurse,Diploma,Rural,61.1,OBC,1,2021
5000,Yes,Yes,Daily Wage Worker,Factory Worker,Primary School,Urban,48.3,Merit,1,2024
75000,No,Yes,Factory Worker,Factory Worker,Postgraduate,Rural,77.2,OBC,1,2022
18000,Yes,Yes,Small Business,Daily Wage Worker,Graduate,Rural,62.8,Merit,1,2021
45000,No,No,Daily Wage Worker,Shopkeeper,Postgraduate,Rural,57.6,Management,1,2024
18000,Yes,Yes,Teacher,Farmer,Graduate,Rural,75.7,Management,0,2023
75000,No,No,Teacher,Daily Wage Worker,Graduate,Rural,82.6,Merit,0,2023
12000,No,No,Teacher,Government Job,Graduate,Rural,98.5,OBC,0,2022
18000,No,No,Engineer,Shopkeeper,No Formal Education,Semi-Urban,92.2,NRI,0,2024
45000,Yes,No,Driver,Farmer,Postgraduate,Semi-Urban,40.9,SC/ST,1,2023
12000,No,No,Daily Wage Worker,Homemaker,Graduate,Semi-Urban,49.0,Merit,1,2023
18000,Yes,No,Farmer,Farmer,Graduate,Rural,72.2,Merit,0,2024
100000,Yes,Yes,Government Job,Daily Wage Worker,Postgraduate,Semi-Urban,67.3,SC/ST,0,2022
25000,Yes,Yes,Shopkeeper,Farmer,HighSchool,Urban,91.5,Merit,0,2023
35000,Yes,Yes,Factory Worker,Nurse,HighSchool,Rural,88.1,Management,1,2021
35000,Yes,No,Doctor,Government Job,Primary School,Urban,71.2,Merit,0,2024
60000,Yes,No,Shopkeeper,Daily Wage Worker,Graduate,Rural,96.0,SC/ST,0,2022
60000,No,Yes,Shopkeeper,Teacher,Diploma,Rural,61.2,Merit,0,2021
25000,Yes,No,Farmer,Nurse,Primary School,Urban,78.5,Merit,0,2022
12000,No,No,Doctor,Daily Wage Worker,Graduate,Semi-Urban,81.1,SC/ST,1,2022
3000,Yes,No,Shopkeeper,Nurse,HighSchool,Semi-Urban,70.0,Merit,0,2021
35000,No,No,Farmer,Daily Wage Worker,Diploma,Semi-Urban,52.7,Merit,1,2022
60000,No,No,Farmer,Homemaker,HighSchool,Urban,49.1,SC/ST,1,2022
18000,Yes,Yes,Government Job,Shopkeeper,HighSchool,Urban,49.5,Sports,1,2022
8000,No,Yes,Shopkeeper,Farmer,Diploma,Rural,62.9,Merit,1,2024
12000,No,Yes,Small Business,Factory Worker,HighSchool,Rural,79.6,Merit,1,2022
25000,No,No,Teacher,Shopkeeper,Diploma,Urban,58.3,Management,0,2024
60000,Yes,No,Small Business,Shopkeeper,Diploma,Rural,90.8,Merit,0,2021
8000,No,Yes,Factory Worker,Nurse,Postgraduate,Rural,75.2,Merit,1,2024
35000,No,No,Driver,Government Job,HighSchool,Rural,66.8,OBC,1,2023
45000,Yes,No,Daily Wage Worker,Homemaker,HighSchool,Semi-Urban,59.0,OBC,1,2024
75000,Yes,Yes,Government Job,Daily Wage Worker,Graduate,Semi-Urban,46.7,Management,0,2022
8000,No,No,Doctor,Government Job,HighSchool,Rural,72.5,OBC,1,2024
75000,No,No,Farmer,Nurse,Diploma,Rural,62.3,Merit,0,2023
35000,No,No,Teacher,Teacher,Graduate,Semi-Urban,96.8,Merit,0,2022
45000,Yes,No,Government Job,Daily Wage Worker,No Formal Education,Semi-Urban,83.8,OBC,0,2022
5000,No,No,Daily Wage Worker,Factory Worker,Postgraduate,Urban,48.0,Merit,1,2021
25000,No,No,Teacher,Homemaker,Diploma,Urban,72.8,Management,0,2021
35000,No,No,Daily Wage Worker,Farmer,Graduate,Rural,91.6,Management,1,2022
12000,Yes,Yes,Small Business,Homemaker,Postgraduate,Semi-Urban,95.4,Merit,0,2023
18000,No,Yes,Farmer,Teacher,Postgraduate,Urban,95.0,OBC,1,2023
25000,Yes,Yes,Daily Wage Worker,Farmer,HighSchool,Semi-Urban,88.2,Management,1,2023
25000,No,Yes,Engineer,Farmer,Diploma,Urban,56.4,Merit,0,2022
5000,Yes,No,Driver,Government Job,Diploma,Urban,77.3,Sports,0,2024
18000,Yes,No,Government Job,Homemaker,Diploma,Rural,81.9,Merit,0,2024
12000,No,No,Small Business,Factory Worker,Graduate,Rural,89.2,OBC,1,2022
75000,No,No,Driver,Factory Worker,HighSchool,Rural,92.3,Merit,0,2023
100000,No,Yes,Shopkeeper,Government Job,Diploma,Rural,71.3,Merit,0,2023
12000,Yes,No,Government Job,Homemaker,Graduate,Urban,59.1,Sports,0,2021
8000,No,Yes,Daily Wage Worker,Nurse,HighSchool,Rural,71.0,Sports,1,2024
12000,Yes,No,Factory Worker,Farmer,Graduate,Urban,94.4,Management,0,2024
18000,No,No,Teacher,Farmer,Primary School,Semi-Urban,71.0,SC/ST,1,2023
60000,Yes,Yes,Shopkeeper,Nurse,Graduate,Urban,48.3,Merit,0,2021
25000,Yes,No,Teacher,Farmer,Primary School,Semi-Urban,65.7,Management,0,2021
5000,No,Yes,Shopkeeper,Shopkeeper,Graduate,Rural,84.9,Management,1,2023
3000,No,Yes,Farmer,Daily Wage Worker,HighSchool,Rural,97.4,Merit,1,2022
12000,Yes,Yes,Farmer,Nurse,Graduate,Urban,64.9,Management,1,2021
60000,No,Yes,Teacher,Daily Wage Worker,Graduate,Rural,87.0,Sports,0,2022
35000,Yes,No,Factory Worker,Nurse,Diploma,Urban,56.1,Merit,0,2021
25000,Yes,No,Government Job,Daily Wage Worker,Graduate,Rural,61.5,Merit,0,2021
12000,No,Yes,Engineer,Homemaker,Postgraduate,Semi-Urban,57.6,SC/ST,1,2023
75000,No,No,Government Job,Government Job,Primary School,Semi-Urban,80.0,Merit,0,2022
12000,No,Yes,Daily Wage Worker,Shopkeeper,Graduate,Semi-Urban,94.1,Merit,1,2021
60000,No,No,Driver,Daily Wage Worker,Diploma,Urban,88.3,NRI,0,2023
60000,Yes,No,Shopkeeper,Farmer,Graduate,Rural,75.0,Merit,0,2021
25000,Yes,No,Shopkeeper,Nurse,Postgraduate,Urban,71.6,Merit,0,2022
60000,No,Yes,Doctor,Farmer,Graduate,Semi-Urban,90.2,Sports,0,2021
12000,Yes,No,Farmer,Teacher,Primary School,Semi-Urban,95.3,SC/ST,1,2021
35000,No,No,Engineer,Nurse,Diploma,Urban,86.0,Merit,0,2024
5000,Yes,No,Teacher,Factory Worker,Diploma,Urban,78.7,OBC,0,2024
18000,Yes,No,Farmer,Daily Wage Worker,Primary School,Rural,87.0,OBC,1,2023
12000,No,No,Farmer,Farmer,Graduate,Rural,68.7,Merit,1,2022
5000,Yes,Yes,Shopkeeper,Nurse,Graduate,Urban,65.0,Sports,0,2022
3000,Yes,No,Daily Wage Worker,Nurse,Graduate,Semi-Urban,96.8,Merit,0,2022
12000,No,No,Doctor,Nurse,Primary School,Semi-Urban,72.6,Sports,1,2023
25000,No,No,Farmer,Nurse,Graduate,Rural,73.9,Merit,1,2021
18000,Yes,No,Daily Wage Worker,Farmer,HighSchool,Semi-Urban,46.9,Management,1,2022
12000,No,Yes,Teacher,Homemaker,HighSchool,Rural,70.4,Management,1,2024
100000,No,Yes,Farmer,Homemaker,Diploma,Rural,62.3,Merit,1,2022
75000,No,Yes,Factory Worker,Homemaker,Graduate,Semi-Urban,56.5,Management,1,2021
8000,Yes,Yes,Driver,Factory Worker,Diploma,Rural,96.9,SC/ST,1,2022
